Index,Generation,Impregnation Vial Number Barcode,Support,Total Metal Loading [wt%],Fe Loading [wt%],In Loading [wt%],Ce Loading [wt%],Co Loading [wt%],Cu Loading [wt%],Zn Loading [wt%],K Loading [wt%],Cost [$/kg],Merit,CO2 Conversion (%),MeOH Selectivity (%),CH4 Selectivity(%),CO Selectivity(%),C2-C4 Selectivity(%),CO Formation Rate [mol/(h*gMetal)],CH4 Formation Rate [mol/(h*gMetal)],MeOH Formation Rate [mol/(h*gMetal)],CO2 Conversion Rate [mol/(h*gMetal)]
1,1,1000001976,ZrO2,3.004791058,0.351593054,0.753413687,1.899784317,0,0,0,0,1247,0.627922261,0.639142712,38.43338457,2.612947321,58.95366811,0,0.014402549,0.000634178,0.00940709,0.024443817
2,1,1000001964,TiO2,4.819777709,3.625220733,0,0.368754545,0.176586683,0,0,0.649215747,55,0.477209132,0.885990488,0,15.96925903,78.13938323,0.23352861,0.015246795,0.002884356,0,0.018131151
3,1,1000002003,Al2O3,3.003282727,2.276682067,0,0.221440201,0.435960396,0,0,0.069200063,86,0.342882228,0.686568395,1.968027736,44.6499157,48.10034469,0.690107293,0.011478378,0.009822375,0.000417329,0.021718082
4,1,1000001943,SiO2,3.592156258,1.582631163,0.010412047,0,0,0,1.999113048,0,47,0.4933445,0.484452366,0,10.57122996,89.17717743,0.251592612,0.012181359,0.001443915,0,0.013625274
5,1,1000002005,Al2O3,4.418727953,0,0,1.445633219,0.422779526,0,2.550315207,0,164,0.350743705,1.18805362,5.344889919,47.90574149,44.22657841,0.696571852,0.01181179,0.012313604,0.001369273,0.025494667
6,1,1000002015,ZrO2,2.891147059,0.757557469,0,1.745933229,0,0,0.387656361,0,78,0.845537292,0.633883763,68.7470551,10.96066648,16.03619819,0,0.005180816,0.002254691,0.013877805,0.021313312
7,1,1000001974,ZrO2,5.277473702,0.844050106,0,0,3.108293736,0.527171227,0,0.797958633,561,0.530006941,6.654175889,0.481498167,27.13498953,51.80269744,20.58081487,0.065743124,0.034457088,0.000612569,0.100812781
8,1,1000001975,ZrO2,3.762353064,2.241028342,0.076066236,0,0,0,0.936199829,0.509058657,135,0.474724966,1.359303472,8.392844692,26.61455529,62.5573597,1.524427621,0.022603875,0.009491191,0.003015127,0.035110194
9,1,1000001984,Al2O3,3.444272446,0.936842105,0.60619195,0,0,0,1.90123839,0,966,0.38714487,0.528197388,10.96315626,28.09922759,33.24087049,0,0.009411953,0.003035643,0.002469912,0.014917507
10,1,1000001985,ZrO2,3.7936294,0,2.037536656,0,0.697746366,0,1.058346378,0,3309,0.614494054,1.116797239,66.75245302,0.787053695,32.46049328,0,0.010981361,0.000266182,0.02258567,0.033833213
11,1,1000002013,ZrO2,4.222454225,0,0,0.791710167,3.053739216,0,0.002900037,0.374104804,559,0.498674205,14.15811003,0.54240747,74.12877542,5.202301428,20.12651568,0.019746535,0.282338547,0.002076448,0.30416153
12,1,1000002026,TiO2,3.383732802,0,0,0.800094456,1.394609086,0,1.18902926,0,285,0.443346445,1.021735136,12.43867953,33.00355319,42.88264527,0.759843351,0.016715985,0.009095035,0.003504635,0.029315655
13,1,1000001973,SiO2,3.597938371,0,1.476839717,1.24887117,0,0.872227484,0,0,2514,0.215366282,0.697205903,13.62467716,39.61098705,33.95363001,1.284529187,0.00918873,0.006856636,0.002366062,0.018411428
14,1,1000001963,Al2O3,3.928365285,0.089281029,0.260975316,0,0,3.57810894,0,0,554,0.64590541,2.896188861,19.14908564,2.861591068,76.48456983,0.052188961,0.054615736,0.002002697,0.013372772,0.069991205
15,1,1000001993,Al2O3,4.180038066,0,0,2.645073268,1.185486206,0,0.308363464,0.041115129,317,0.506122256,0.399622009,0,2.492762062,97.50723794,0,0.00946426,0.000241886,0,0.009706145
16,1,1000001995,TiO2,4.355378824,1.238132848,0,2.311911778,0,0.350621692,0,0.454712506,115,0.523667506,0.405339229,0,2.536453166,97.46354683,0,0.009217005,0.000239966,0,0.009456972
17,1,1000002024,ZrO2,2.887024458,0,0.497967258,0,0,1.164887692,1.224169509,0,832,0.856093028,6.587991351,46.95529947,3.451565313,44.01295928,0.343787737,0.107055406,0.007442062,0.102203202,0.21670067
18,1,1000001986,SiO2,3.533370723,0,1.514301739,0,1.140773976,0.67638811,0,0.201906898,2662,0.163551464,2.838415337,0,44.60043858,47.41840017,7.366310641,0.037328592,0.034559038,0,0.071887631
19,1,1000001953,SiO2,2.548003775,0.093600139,2.329603451,0,0,0,0.124800185,0,3635,0,0.367725846,1.426624949,49.39398914,33.36655752,1.527873729,0.007270464,0.006397848,0.000249863,0.013918174
20,1,1000001944,Al2O3,3.881270447,0,0,0.205721048,2.87323731,0.665164723,0,0.137147366,526,0.355442201,1.196828717,3.022788682,37.84031347,35.15274451,0.974180091,0.017221277,0.011014518,0.000922166,0.029157961
21,1,1000001983,TiO2,4.623818952,0.093355014,2.564517162,1.285004317,0,0,0,0.680942459,4096,0.1286039,0.563682119,0,13.47710013,79.05047185,0,0.010267793,0.001597327,0,0.011865119
22,1,1000001994,Al2O3,3.628621878,0.81166542,0,0.416063787,2.400892671,0,0,0,430,0.32341185,0.754015181,3.066708026,43.98917359,36.66907606,0.868740947,0.010497337,0.008636836,0.000567511,0.019701684
23,1,1000002025,ZrO2,3.761312217,0.267197043,1.010063546,0,0,0,2.002509705,0.481541923,1594,0.590642437,0.448274253,38.73966758,3.394208963,57.86612345,0,0.007920378,0.000464273,0.005313019,0.013697669
24,1,1000001996,Al2O3,3.833529505,0,0.027333544,2.09784948,1.708346482,0,0,0,419,0.339446124,1.041331326,1.496010976,40.67534528,51.8398131,1.040850622,0.014995718,0.010749372,0.000385465,0.026130555
25,2,1000001977,ZrO2,2.538329589,0,0,0.038746481,0,2.457579007,0.003257621,0.038746481,105,0.941465306,10.15541879,30.99818548,0.801303014,68.02023635,0.058821023,0.24889405,0.002874059,0.111121023,0.362889132
26,2,1000001987,ZrO2,4.081562619,0,0,0.067536516,0.115851129,3.898174974,0,0,182,0.941776446,8.133757424,45.5077865,4.102619699,49.74246854,0.307224593,0.092938303,0.007519188,0.083381217,0.183838708
27,2,1000001997,ZrO2,4.209971742,0.206520272,0.232163981,0,0,3.771287489,0,0,524,0.911110409,7.795399204,47.90200204,5.044732533,46.30381751,0.410125689,0.080642696,0.008633343,0.08187914,0.171155179
28,2,1000001978,ZrO2,3.617895789,0.122502105,0.106910648,0,0,3.388483036,0,0,303,0.954192207,10.21376848,36.76969137,1.040002499,61.97834418,0.10750809,0.160287295,0.00265718,0.093883081,0.256827556
29,2,1000001988,ZrO2,2.552772484,0.260034465,0,0.166275011,0,2.126463008,0,0,93,0.951386066,9.041272735,39.17412945,1.763700849,58.66153959,0.158095909,0.192674159,0.005724226,0.126931905,0.325330289
30,2,1000001979,ZrO2,2.90144596,0,0,0,0.161977175,2.694578349,0.044890436,0,139,0.923373796,7.644875655,47.29686747,8.054159212,43.92316777,0.594827713,0.108315557,0.019696733,0.115501581,0.243513871
31,2,1000001970,ZrO2,2.984196445,0,0.025783101,0,0,2.444732151,0.409240394,0.104440799,147,0.873046146,9.423424621,25.06879516,4.073031935,70.13198106,0.536499969,0.203253668,0.011635169,0.071624084,0.286512922
32,2,1000001969,ZrO2,3.061196911,0.242875539,0.070732338,0,0,2.747589034,0,0,220,0.963531738,10.68010161,38.19197884,4.636220904,56.56529948,0.43536917,0.181549361,0.014698928,0.121027949,0.317276238
33,2,1000001972,ZrO2,3.102841585,0,0,0.277530584,0,2.612872738,0.212438264,0,119,0.890528633,6.474343064,39.42360285,0.541656965,59.58962267,0.011710689,0.116150809,0.001044381,0.075908268,0.193103458
34,2,1000001981,ZrO2,3.850494082,0.070782157,0,0.043775853,0,3.735936072,0,0,154,0.980477992,11.31535234,35.26654141,2.546583679,61.72644804,0.339122275,0.164785557,0.006737172,0.093757267,0.265279997
35,2,1000001980,ZrO2,3.906027782,0,0.104604054,0,0,3.56446368,0.080342248,0.1566178,323,0.826496769,8.771860826,19.79715131,1.442836258,78.25016749,0.217434033,0.160354385,0.002930912,0.040133212,0.203418509
36,2,1000001989,ZrO2,4.217621258,0.021626046,0.012186288,0,0,3.982185092,0,0.201623831,198,0.803141968,8.050344567,17.6652825,2.459024251,79.24238329,0.290092847,0.138750515,0.004262385,0.030541918,0.173554818
37,2,1000001990,ZrO2,4.375228448,0,0,0.20470994,0,4.147495731,0.023022778,0,178,0.950278431,10.35185534,37.38335763,5.551999706,56.36063863,0.556857634,0.122755049,0.011988316,0.081069268,0.215812632
38,2,1000001991,ZrO2,4.411731077,0,0,0.165648031,0,4.147588688,0.098494358,0,177,0.953048238,10.03623655,36.56671813,2.413145977,60.68834393,0.26746176,0.125847358,0.004992015,0.07552947,0.206368842
39,2,1000001998,ZrO2,3.460118113,0,0.096632241,0,0,2.985030104,0.378455767,0,278,0.927176402,7.586506709,44.59811137,1.490547136,53.72508369,0.080962972,0.109057285,0.00301051,0.090004713,0.202072507
40,2,1000002000,ZrO2,3.252841511,0.384082334,0,0,0.01415073,2.854608447,0,0,118,0.909228983,9.072503541,34.83108881,5.643389303,58.82380505,0.529413275,0.150581201,0.014348224,0.088478986,0.253408411
41,2,1000002010,ZrO2,3.889638327,0,0.425834296,0,0,3.145763819,0.318040212,0,156,0.945107074,9.582594576,34.88810241,0.218279338,64.89361825,0,0.151307064,0.000507471,0.081180515,0.232995051
42,2,1000002008,ZrO2,2.796551034,0,0.006292849,0.505028521,0,2.285229663,0,0,151,0.814904679,6.813121407,23.50278629,0.493863146,76.00335057,0,0.174689321,0.001134333,0.053979279,0.229802933
43,2,1000001992,ZrO2,3.97346243,0,0.246279145,0.262696213,0,3.464487072,0,0,233,0.895526929,8.427660993,32.37991994,0.309612152,67.31046791,0,0.134739809,0.000618644,0.064740082,0.200098535
44,2,1000001982,ZrO2,3.678323665,0,0,0,0.014374752,3.641028996,0.022919917,0,180,0.897088293,9.538062863,26.36398161,0.43387876,73.20213963,0,0.179531258,0.001061747,0.064632929,0.245225933
45,2,1000001999,ZrO2,4.192376487,0,0,0.109297491,0.076811219,4.006267777,0,0,150,0.925703956,8.405343884,37.0255932,0.380112652,62.59429415,0,0.141836707,0.000859832,0.083809622,0.226506162
46,2,1000002001,ZrO2,3.146686366,0,0.069959988,0.6980829,0,2.378643479,0,0,535,0.853608674,7.659889713,33.32566548,0.477772972,66.18476405,0.011797502,0.182245541,0.001312783,0.091729784,0.275288107
47,2,1000002011,ZrO2,3.570216311,0,0,0,0.060048755,3.285925881,0.1602933,0.063948375,122,0.860553932,7.999078167,25.90464753,0.401515728,73.66190972,0.031927022,0.186201098,0.001008936,0.065277867,0.252487901
48,2,1000002009,ZrO2,3.96675167,0.117796928,0,0.045926262,0,3.80302848,0,0,795,0.836800776,7.4215471,35.46887372,0.277967068,64.25315922,0,0.136021855,0.000587631,0.074961844,0.21157133
49,3,1000002019,ZrO2,3.549354864,0,0.005669604,0,0.305244152,3.238441107,0,0,190.862868,0.720211153,5.489183305,27.77212464,17.13111437,51.48175593,2.953757303,0.074220051,0.024582465,0.039008203,0.137810719
50,3,1000002021,ZrO2,4.349289559,0.176455434,0,0,0.41300405,3.759830075,0,0,222.2418932,0.711751472,7.33201479,28.46652766,28.98159332,38.06246728,4.22444945,0.05892686,0.045452933,0.043416554,0.147796347
51,3,1000002031,ZrO2,5.134784175,0.506777968,0,0,0,3.72227153,0.241469046,0.664265632,215.8246152,0.644103355,4.953282347,1.91043869,1.901474585,94.98893317,0.464905725,0.084213482,0.001661758,0.001537488,0.087412729
52,3,1000002042,ZrO2,4.091173233,0,0,0.232156906,0,3.421125396,0.43789093,0,154.105779,0.900081229,7.484591577,36.95217582,0.658032023,62.07515291,0.08220918,0.103858871,0.001086998,0.061040036,0.165985904
53,3,1000002029,ZrO2,4.172824867,0,0.049423399,0,0.609615825,3.173091254,0,0.340694388,338.968132,0.460021957,4.67561547,6.220363914,41.44420289,40.14520175,11.28173686,0.042571607,0.042894892,0.006382235,0.091848735
54,3,1000002036,ZrO2,4.36902154,0.083397691,0,0,0.165705217,4.119918632,0,0,195.888774,0.920591063,6.951763161,45.93723546,2.408465753,51.00539192,0.228081487,0.075198989,0.003503038,0.066741294,0.145443321
55,3,1000002020,ZrO2,3.893449358,0.222957587,0,0,0,3.529340081,0.141151691,0,145.6344266,0.911444861,9.337018547,30.31225149,1.22379454,68.24573699,0.117253399,0.147631253,0.002622535,0.064946849,0.215200638
